10 , 0.005034128
20 , 0.030675997
30 , 0.117160132
40 , 0.284584548
50 , 0.519120406
60 , 0.784917446
70 , 1.055026372
80 , 1.314509577
90 , 1.55535927
100 , 1.774033544
150 , 2.54863326
200 , 2.959802493
250 , 3.187716524
273.15 , 3.258554669
298.15 , 3.320153056
300 , 3.324772935
350 , 3.421790395
400 , 3.500328338
450 , 3.574246402
500 , 3.649704426
550 , 3.72824237
600 , 3.816020071
650 , 3.909957611
700 , 4.013134909
750 , 4.125551966
800 , 4.24720878
850 , 4.379645312
900 , 4.519781642
